Doctor_ID,Name,Specialization,Schedule
D078,Sean Bernard III,Orthopedic Surgeon,08:00 - 16:00
D079,Alexander Green,Orthopedic Surgeon,09:00 - 17:00
D080,James Potter,Cardiologist,10:00 - 18:00
D081,Paul Martinez,General Physician,09:00 - 17:00
D082,Dawn Casey,General Physician,10:00 - 18:00
D083,Paul Combs,Neurologist,10:00 - 18:00
D084,Carrie Maynard,Neurologist,00:00 - 08:00
D085,Christopher Burke,Dermatologist,09:00 - 17:00
D086,Steven Lewis,Neurologist,09:00 - 17:00
D087,Walter Thompson,Dermatologist,00:00 - 08:00
D088,Paige Davenport,General Physician,08:00 - 16:00
D089,Catherine Daniels,General Physician,12:00 - 20:00
D090,Louis Smith,Orthopedic Surgeon,12:00 - 20:00
D091,Christopher Ochoa,Cardiologist,09:00 - 17:00
D092,Jonathan Smith,Neurologist,08:00 - 16:00
D093,Rita Thomas,Neurologist,09:00 - 17:00
D094,Kyle Griffith,Urologist,12:00 - 20:00
D095,Joe Sandoval,Urologist,10:00 - 18:00
D096,Erica Osborne,Urologist,09:00 - 17:00
D097,Scott Jennings,Orthopedic Surgeon,00:00 - 08:00
D098,Michelle Rowland,Urologist,12:00 - 20:00
D099,Lauren Barber,Cardiologist,00:00 - 08:00
D100,Kimberly Lawson,General Physician,10:00 - 18:00
